step 61 | train_loss: 8.501747 | grad_norm: 1.4953 | lr: 5.2028e-05 | tok/s: 371654
step 62 | train_loss: 8.418950 | grad_norm: 1.5310 | lr: 5.2867e-05 | tok/s: 366247
step 63 | train_loss: 8.380430 | grad_norm: 1.4894 | lr: 5.3706e-05 | tok/s: 355867
step 64 | train_loss: 8.339057 | grad_norm: 1.4349 | lr: 5.4545e-05 | tok/s: 368721
step 65 | train_loss: 8.324025 | grad_norm: 1.4538 | lr: 5.5385e-05 | tok/s: 371933
step 66 | train_loss: 8.266799 | grad_norm: 1.4385 | lr: 5.6224e-05 | tok/s: 352685
step 67 | train_loss: 8.248771 | grad_norm: 1.3227 | lr: 5.7063e-05 | tok/s: 346670
step 68 | train_loss: 8.216263 | grad_norm: 1.3184 | lr: 5.7902e-05 | tok/s: 368818
step 69 | train_loss: 8.129285 | grad_norm: 1.4687 | lr: 5.8741e-05 | tok/s: 365992
step 70 | train_loss: 8.081104 | grad_norm: 1.4641 | lr: 5.9580e-05 | tok/s: 361398
step 71 | train_loss: 8.086542 | grad_norm: 1.3001 | lr: 6.0420e-05 | tok/s: 365963
step 72 | train_loss: 8.011853 | grad_norm: 1.2478 | lr: 6.1259e-05 | tok/s: 356430
step 73 | train_loss: 7.979529 | grad_norm: 1.3383 | lr: 6.2098e-05 | tok/s: 368351
step 74 | train_loss: 7.923306 | grad_norm: 1.1606 | lr: 6.2937e-05 | tok/s: 370510
step 75 | train_loss: 7.926591 | grad_norm: 1.1588 | lr: 6.3776e-05 | tok/s: 370287
step 76 | train_loss: 7.860830 | grad_norm: 1.2122 | lr: 6.4615e-05 | tok/s: 366747
step 77 | train_loss: 7.864841 | grad_norm: 1.2087 | lr: 6.5455e-05 | tok/s: 362486
step 78 | train_loss: 7.820369 | grad_norm: 1.0388 | lr: 6.6294e-05 | tok/s: 370155
step 79 | train_loss: 7.769780 | grad_norm: 0.9768 | lr: 6.7133e-05 | tok/s: 369577
step 80 | train_loss: 7.736661 | grad_norm: 1.0053 | lr: 6.7972e-05 | tok/s: 369762
step 81 | train_loss: 7.735234 | grad_norm: 0.9079 | lr: 6.8811e-05 | tok/s: 369812
step 82 | train_loss: 7.678724 | grad_norm: 1.0057 | lr: 6.9650e-05 | tok/s: 369878
step 83 | train_loss: 7.629274 | grad_norm: 0.9248 | lr: 7.0490e-05 | tok/s: 369641
step 84 | train_loss: 7.618445 | grad_norm: 0.8839 | lr: 7.1329e-05 | tok/s: 369326
step 85 | train_loss: 7.575117 | grad_norm: 0.8392 | lr: 7.2168e-05 | tok/s: 369087
step 86 | train_loss: 7.558788 | grad_norm: 0.8072 | lr: 7.3007e-05 | tok/s: 364772
step 87 | train_loss: 7.554458 | grad_norm: 0.7960 | lr: 7.3846e-05 | tok/s: 360485
step 88 | train_loss: 7.534664 | grad_norm: 0.7976 | lr: 7.4685e-05 | tok/s: 360224
step 89 | train_loss: 7.560825 | grad_norm: 0.6599 | lr: 7.5524e-05 | tok/s: 362042
step 90 | train_loss: 7.479076 | grad_norm: 0.7540 | lr: 7.6364e-05 | tok/s: 359168
step 91 | train_loss: 7.464146 | grad_norm: 0.6499 | lr: 7.7203e-05 | tok/s: 360649
step 92 | train_loss: 7.482861 | grad_norm: 0.7186 | lr: 7.8042e-05 | tok/s: 354145
step 93 | train_loss: 7.534855 | grad_norm: 0.5436 | lr: 7.8881e-05 | tok/s: 341288
step 94 | train_loss: 7.534644 | grad_norm: 0.6123 | lr: 7.9720e-05 | tok/s: 325567
step 95 | train_loss: 7.522906 | grad_norm: 0.5415 | lr: 8.0559e-05 | tok/s: 324940
step 96 | train_loss: 7.476623 | grad_norm: 0.5776 | lr: 8.1399e-05 | tok/s: 324821
step 97 | train_loss: 7.433256 | grad_norm: 0.4668 | lr: 8.2238e-05 | tok/s: 324947
step 98 | train_loss: 7.454968 | grad_norm: 0.5129 | lr: 8.3077e-05 | tok/s: 325904
step 99 | train_loss: 7.400937 | grad_norm: 0.5691 | lr: 8.3916e-05 | tok/s: 326189
step 100 | train_loss: 7.454220 | grad_norm: 0.5860 | lr: 8.4755e-05 | tok/s: 329628
step 101 | train_loss: 7.380600 | grad_norm: 0.5549 | lr: 8.5594e-05 | tok/s: 340043
step 102 | train_loss: 7.365794 | grad_norm: 0.3868 | lr: 8.6434e-05 | tok/s: 349651
step 103 | train_loss: 7.253764 | grad_norm: 0.5530 | lr: 8.7273e-05 | tok/s: 359427
step 104 | train_loss: 7.338705 | grad_norm: 0.5614 | lr: 8.8112e-05 | tok/s: 365340
step 105 | train_loss: 7.352422 | grad_norm: 0.6222 | lr: 8.8951e-05 | tok/s: 370612
step 106 | train_loss: 7.300696 | grad_norm: 0.5967 | lr: 8.9790e-05 | tok/s: 371044
step 107 | train_loss: 7.244714 | grad_norm: 0.4792 | lr: 9.0629e-05 | tok/s: 370591
step 108 | train_loss: 7.304988 | grad_norm: 0.5805 | lr: 9.1469e-05 | tok/s: 370179
step 109 | train_loss: 7.323353 | grad_norm: 0.4551 | lr: 9.2308e-05 | tok/s: 370222
step 110 | train_loss: 7.250647 | grad_norm: 0.5787 | lr: 9.3147e-05 | tok/s: 370347
step 111 | train_loss: 7.229188 | grad_norm: 0.5064 | lr: 9.3986e-05 | tok/s: 370613
step 112 | train_loss: 7.197948 | grad_norm: 0.5235 | lr: 9.4825e-05 | tok/s: 370404
step 113 | train_loss: 7.258053 | grad_norm: 0.5695 | lr: 9.5664e-05 | tok/s: 370252
step 114 | train_loss: 7.249204 | grad_norm: 0.6939 | lr: 9.6503e-05 | tok/s: 369798
step 115 | train_loss: 7.214236 | grad_norm: 0.7799 | lr: 9.7343e-05 | tok/s: 369786
step 116 | train_loss: 7.141263 | grad_norm: 1.1199 | lr: 9.8182e-05 | tok/s: 370170
step 117 | train_loss: 7.056658 | grad_norm: 0.6638 | lr: 9.9021e-05 | tok/s: 370183
step 118 | train_loss: 7.082265 | grad_norm: 0.6833 | lr: 9.9860e-05 | tok/s: 370030
step 119 | train_loss: 7.136860 | grad_norm: 0.8944 | lr: 1.0070e-04 | tok/s: 370183
